address,currency,price,expenses,size,bedrooms,bathrooms,listing_url,website,url,description,timestamp,price_total_usd
"Ravignani 1500, CABA, Argentina",$,1100000.0,29000.0,110.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-4-ambientes--14759188,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Espectacular departamento tipo ph. Living con cocina integrada y toilette, en segundo piso dos dormitorios con placard y un baño. En ultimo piso  espacio o dormitorio con baño en suite y acceso a terraza con parrilla. 

El importe mensual es o usd 1000 sin actualizaciones o $1100000 con actualizaciones cuatrimestrales 

 listo para mudarse!!!",2024-01-12 16:30:10.796438,1129.0
"ROOSEVELT  al 1900, CABA, Argentina",USD,900.0,70000.0,110.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--15205655,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Valor&nbsp; del alquiler: u$s 900.- 
Piso de 4 ambientes con cochera , balcón, lavadero y dependencia c/ bano            
        
contrato a dos añosubicado en la calle roosevelt , en el barrio de belgrano. El inmueble tiene una superficie de 120 m2, distribuidos en un living-comedor, una cocina, 3 dormitorios y dos baños completos, uno en suite, lavadero, dependencia de servicio con su bano y",2024-01-12 16:30:10.817608,970.0
"Billinghurst 1600, CABA, Argentina",$,800000.0,70000.0,100.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--15220786,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-2,,2024-01-12 16:30:16.166942,870.0
"Beruti 3500, CABA, Argentina",$,950000.0,180000.0,210.0,3,3.0,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--15197750,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-4,"- Piso de categoría  4 ambientes c/dependencia   cochera cub. Móvil
- superf.: 210 mts: 160 mts. + 50 descub. (2 patios) - palier privado  doble entrada
- amplio living comedor (50m) - 3 dormit. Amplios (1 suite) 
- 2 baños completos y 1 toilette - comedor diario - lavadero indepte. 
- Agua cal. Central y calef. Indiv x aire ac. - Expensas: $  150.000
- excelente ubicación",2024-01-12 16:30:26.527053,1130.0
"Scalabrini Ortiz al 2400, CABA, Argentina",$,750000.0,120000.0,103.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--15203428,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-5,"Piso en alquiler , excelente ubicacion, a metros de santa fe 4 ambientes en alquiler, palermo - scalabrini ortiz y santa fe
todo exterior, impecable


cuatro ambientes (3 cuartos + un living comedor) de estilo, con techos altos y piso de pinotea. Un baño completo y un toilette.
Muy buena ubicación, cerca de centro comercial y muchos",2024-01-12 16:30:31.405017,870.0
"VIDAL 2300, CABA, Argentina",$,800000.0,75000.0,92.0,3,3.0,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--15195200,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-22,"Alquiler de departamento amoblado 4 ambientes dependencia y cochera en belgrano, capital federal

reciclado a nuevo - totalmente amoblado de primera categoria 

vidal y olazabal - súper luminoso y silencioso - contrafrente - pulmón de manzana verde! 

A 4 cuadras de av. Cabildo con todos los medios de transporte del metrobus, subte línea d estación juramento - balcón - cochera a nivel - no",2024-01-12 16:31:59.219625,875.0
"Ciudad De La Paz 1400, CABA, Argentina",$,800000.0,170000.0,130.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--13919766,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-22,"Semipiso de 3 dormitorios (todos con placard y alfombrados).
Entrada principal por palier privado con acceso a living comedor con salida a balcón. Todo al frente!
Cocina comedor con horno electrico y anafe a gas natural.
Entrada de servicio a jardin de invierno con acceso a habitacion de servicio con baño de servicio (ideal 4º dormitorio o escritorio)
baulera y espacio guardacoche en planta",2024-01-12 16:31:59.221610,970.0
"URUGUAY al 1200, CABA, Argentina",USD,1000.0,110000.0,,3,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--15197513,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-22,"Descubrí la comodidad de este semipiso al frente, recién pintado y con renovación reciente en los baños. El dormitorio principal cuenta con baño en suite y actualmente se encuentra integrado al living-comedor, ambos con acceso directo a un balcón corrido que brinda una muy linda vista al frente. Además, el inmueble cuenta con un toilette con ducha y otros dos dormitorios",2024-01-12 16:31:59.227061,1110.0
"LAFINUR 2900, CABA, Argentina",USD,1350.0,106080.0,100.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--15221715,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-23,"Muy buen departamento en excelente estado. Contrafrente muy luminoso con vista abierta. Palier privado. Hall. Living comedor a balcón. Pisos de parquet. 3 dormitorios (2 dan al balcón). 2 baños. Cocina y comedor diario. Dependencia de servicio. Lavadero. Doble circulación. Baulera. Cochera espacio. Sin muebles.
Las expensas deben agregarse al valor del alquiler.

Superficie total uso propio uf:",2024-01-12 16:32:04.264111,1456.08
"Uriburu  al 1300, CABA, Argentina",$,700000.0,165000.0,90.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--15223158,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-23,"Luminoso y amplio piso en alquiler residencial en el corazón de recoleta, próximo a zona comercial, hospitales e universidades. A pocas cuadras de av. Santa fe, av. Pueyrredon, av. Gral. Las heras y av. Callao, otorgando un rápido y fácil acceso a los distintos puntos de la ciudad cercano a varias líneas de colectivos y subte.
Se trata de un departamento tres ambientes con habitación y",2024-01-12 16:32:04.269423,865.0
"Aguilar 2300, CABA, Argentina",USD,1100.0,211000.0,139.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--15224681,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-23,"Alquiler piso 4 ambientes habitacion de servicio palermo

alquiler de depto premium ubicado en 6to piso a 50 mts de av cabildo y 300 mts de estacion olleros de la linea de subte b

caracteristicas de la propiedad:

- cochera a consultar
-tipo de unidad: piso/departamento
-orientacion: noroeste
-estado general: exelente
-estado de ocupacion: desocupado
-destino: vivienda

ambientes:

-	3",2024-01-12 16:32:04.271224,1311.0
